GUSTAVO A. MADERO,13,11,5/24/2013
GUSTAVO A. MADERO,33,7,5/24/2013
GUSTAVO A. MADERO,50,6,5/24/2013
GUSTAVO A. MADERO,23,1,5/24/2013
GUSTAVO A. MADERO,22,1,5/24/2013
IZTACALCO,34,5,5/24/2013
IZTACALCO,24,3,5/24/2013
IZTAPALAPA,26,14,5/24/2013
IZTAPALAPA,25,8,5/24/2013
IZTAPALAPA,40,3,5/24/2013
MAGDALENA CONTRERAS,27,4,5/24/2013
MIGUEL HIDALGO,11,7,5/24/2013
MIGUEL HIDALGO,9,5,5/24/2013
MIGUEL HIDALGO,41,2,5/24/2013
MILPA ALTA,28,3,5/24/2013
TLAHUAC,4,5,5/24/2013
TLALPAN,35,6,5/24/2013
TLALPAN,30,5,5/24/2013
TLALPAN,31,4,5/24/2013
TLALPAN,5,2,5/24/2013
VENUSTIANO CARRANZA,2,12,5/24/2013
VENUSTIANO CARRANZA,3,5,5/24/2013
XOCHIMILCO,32,12,5/24/2013
ALVARO OBREGON,18,6,5/25/2013
ALVARO OBREGON,38,6,5/25/2013
ALVARO OBREGON,17,2,5/25/2013
AZCAPOTZALCO,19,9,5/25/2013
BENITO JUAREZ,45,3,5/25/2013
BENITO JUAREZ,10,3,5/25/2013
BENITO JUAREZ,51,2,5/25/2013
COYOACAN,20,9,5/25/2013
CUAJIMALPA DE MORELOS,21,4,5/25/2013
CUAUHTEMOC,1,3,5/25/2013
CUAUHTEMOC,0,3,5/25/2013
CUAUHTEMOC,8,2,5/25/2013
CUAUHTEMOC,7,1,5/25/2013
GUSTAVO A. MADERO,23,7,5/25/2013
GUSTAVO A. MADERO,50,6,5/25/2013
GUSTAVO A. MADERO,33,4,5/25/2013
GUSTAVO A. MADERO,22,3,5/25/2013
IZTACALCO,24,8,5/25/2013
IZTAPALAPA,26,9,5/25/2013
IZTAPALAPA,25,6,5/25/2013
IZTAPALAPA,48,3,5/25/2013
MAGDALENA CONTRERAS,27,3,5/25/2013
MIGUEL HIDALGO,11,6,5/25/2013
MIGUEL HIDALGO,9,2,5/25/2013
MIGUEL HIDALGO,43,1,5/25/2013
MILPA ALTA,28,1,5/25/2013
TLAHUAC,4,3,5/25/2013
TLALPAN,31,7,5/25/2013
TLALPAN,30,7,5/25/2013
TLALPAN,35,2,5/25/2013
VENUSTIANO CARRANZA,2,5,5/25/2013
XOCHIMILCO,32,6,5/25/2013
ALVARO OBREGON,17,3,5/27/2013
AZCAPOTZALCO,19,3,5/27/2013
BENITO JUAREZ,51,1,5/27/2013
BENITO JUAREZ,10,1,5/27/2013
COYOACAN,20,2,5/27/2013
COYOACAN,37,1,5/27/2013
CUAUHTEMOC,1,5,5/27/2013
CUAUHTEMOC,8,4,5/27/2013
CUAUHTEMOC,6,1,5/27/2013
CUAUHTEMOC,0,1,5/27/2013
CUAUHTEMOC,7,1,5/27/2013
GUSTAVO A. MADERO,23,14,5/27/2013
GUSTAVO A. MADERO,33,3,5/27/2013
GUSTAVO A. MADERO,50,1,5/27/2013
IZTACALCO,34,1,5/27/2013
IZTAPALAPA,26,8,5/27/2013
IZTAPALAPA,25,1,5/27/2013
MAGDALENA CONTRERAS,27,2,5/27/2013
TLAHUAC,4,1,5/27/2013
TLALPAN,31,3,5/27/2013
VENUSTIANO CARRANZA,2,3,5/27/2013
AZCAPOTZALCO,19,1,5/28/2013
BENITO JUAREZ,10,5,5/28/2013
BENITO JUAREZ,51,2,5/28/2013
BENITO JUAREZ,12,2,5/28/2013
CUAUHTEMOC,8,2,5/28/2013
CUAUHTEMOC,6,1,5/28/2013
GUSTAVO A. MADERO,50,4,5/28/2013
GUSTAVO A. MADERO,23,2,5/28/2013
IZTACALCO,34,2,5/28/2013
IZTAPALAPA,48,5,5/28/2013
IZTAPALAPA,26,1,5/28/2013
IZTAPALAPA,40,1,5/28/2013
MAGDALENA CONTRERAS,27,2,5/28/2013
MIGUEL HIDALGO,9,4,5/28/2013
TLALPAN,31,1,5/28/2013
VENUSTIANO CARRANZA,3,2,5/28/2013
